cluster,district,date_announced,category,cases_total
KLUSTER LORONG BANGGOL MANOK,"PASIR MAS, KOTA BHARU",2022-01-20,education,130
KLUSTER DAH TERATAI JINGGA,"KOTA SETAR, LANGKAWI, KUBANG PASU, PADANG TERAP, BALING, PENDANG, KUALA MUDA, KULIM",2022-01-20,education,80
KLUSTER JALAN PANTAI BAGAN,SABAK BERNAM,2022-01-21,workplace,13
KLUSTER KM 4 JALAN KUALA LUMPUR BENTONG,BENTONG,2022-01-21,education,36
KLUSTER JALAN PANGKAL KALONG,KOTA BHARU,2022-01-21,education,10
KLUSTER SIMPANG SEPAYANG,ROMPIN,2022-01-21,education,81
KLUSTER TAMPOK BENUT,"PONTIAN, JOHOR BAHRU, SEGAMAT",2022-01-21,education,82
KLUSTER BUKIT MERBAH,"SEREMBAN, PORT DICKSON",2022-01-21,education,93
KLUSTER SELEKOH BATU EMPAT,"SABAK BERNAM, KUALA SELANGOR",2022-01-21,education,34
KLUSTER JALAN EMPAT TERATAI,TITIWANGSA,2022-01-21,education,12
KLUSTER JALAN PANTAI CUNNINGHAM,"PORT DICKSON, SEREMBAN",2022-01-21,education,93
KLUSTER KASTURI SUNGAI BESI,"CHERAS, TITIWANGSA",2022-01-21,education,760
KLUSTER KAMPUNG TUJUH TUMPAT,TUMPAT,2022-01-21,education,77
KLUSTER PAYA UTAMA,PORT DICKSON,2022-01-21,education,134
KLUSTER R122 BUKIT KETERI,KANGAR,2022-01-22,education,7
KLUSTER KAMPUNG RENAB,TANAH MERAH,2022-01-22,workplace,24
KLUSTER DAH MUTIARA NAGA,KUBANG PASU,2022-01-22,education,56
KLUSTER JALAN IHP ISKANDAR,"JOHOR BAHRU, KOTA TINGGI",2022-01-22,workplace,22
KLUSTER BATU 7 JALAN KLUANG,BATU PAHAT,2022-01-22,education,46
KLUSTER DAH SUNGAI BADAK,KULIM,2022-01-22,education,128
KLUSTER JALAN BYPASS KOLOGON,RANAU,2022-01-22,education,39
KLUSTER JALAN SUNGAI BURUNG,"BARAT DAYA, SEBERANG PERAI UTARA",2022-01-22,education,41
KLUSTER SUNGAI RABA,"SEPANG, KUALA LANGAT, HULU LANGAT",2022-01-22,education,227
KLUSTER JALAN MASJID PASIR MAS,PASIR MAS,2022-01-23,education,5
KLUSTER PERMATANG BINJAI,SEBERANG PERAI UTARA,2022-01-23,education,9
KLUSTER KAMPUNG BUNUT SARANG BURUNG 2,TUMPAT,2022-01-23,education,19
KLUSTER CAHAYA SEKSYEN 11,PETALING,2022-01-23,education,16
KLUSTER BATU 3 TAMPOI,JOHOR BAHRU,2022-01-23,workplace,13
KLUSTER JALAN SULTAN AHMADDIN SHAH,PERAK TENGAH,2022-01-23,education,19
KLUSTER KAMPUNG PEROL,"KOTA BHARU, PASIR MAS",2022-01-23,education,44
KLUSTER JALAN UTAMA BANDAR CHIKU,GUA MUSANG,2022-01-23,education,16
KLUSTER JALAN PINTAS TELUK KEMANG,"REMBAU, PORT DICKSON, SEREMBAN",2022-01-23,education,66
KLUSTER JALAN PULAI GUA MUSANG,GUA MUSANG,2022-01-23,education,10
KLUSTER JALAN SEMENYIH ASA JAYA,"HULU LANGAT, KUALA LANGAT, SEPANG",2022-01-23,education,48
KLUSTER JALAN MEDANG,"BENTONG, BERA",2022-01-23,education,115
KLUSTER PERSIARAN SRI BENDAHARA SEGAMAT,SEGAMAT,2022-01-23,education,196
KLUSTER JALAN MASJID ABU BAKAR,"JOHOR BAHRU, TANGKAK, KULAI",2022-01-24,workplace,18
KLUSTER JALAN MERBAU KOTA BHARU,"KOTA BHARU, PASIR PUTEH",2022-01-24,education,76
KLUSTER JALAN AMPANG 99,"TITIWANGSA, KEPONG, CHERAS, LEMBAH PANTAI",2022-01-24,workplace,9
KLUSTER JALAN BUKIT JALIL INDAH,CHERAS,2022-01-24,workplace,7
KLUSTER JALAN MARAN BATU SATU,TEMERLOH,2022-01-24,workplace,75
KLUSTER JALAN LEPAH,PASIR PUTEH,2022-01-24,education,51
KLUSTER JALAN PENGKALAN BATU,"MELAKA TENGAH, ALOR GAJAH, JASIN",2022-01-24,education,253
KLUSTER DAH BATU 16,"YAN, KOTA SETAR, KULIM, PENDANG, KUALA MUDA",2022-01-24,education,24
KLUSTER DAH JALAN STADIUM,"KOTA SETAR, KUBANG PASU, PENDANG, LANGKAWI",2022-01-24,education,136
KLUSTER SUNGAI MENGKUANG,KUALA KRAI,2022-01-25,education,15
KLUSTER JALAN CANTIK LIMA,JOHOR BAHRU,2022-01-25,education,14
KLUSTER JALAN TASIK GOPENG,KAMPAR,2022-01-25,education,7
KLUSTER JALAN SELATAN LAPAN,JOHOR BAHRU,2022-01-25,workplace,9
KLUSTER JALAN LAMBAK KLUANG,KLUANG,2022-01-25,workplace,21
KLUSTER JALAN SRI CEMPAKA,KINTA,2022-01-25,education,11
KLUSTER PULAU SERAI PEKAN,PEKAN,2022-01-25,education,15
KLUSTER JALAN SUNGAI AIR TAWAR,SABAK BERNAM,2022-01-25,community,17
KLUSTER JALAN SEPRI,JELEBU,2022-01-25,education,28
KLUSTER JALAN KLINIK TANAH MERAH,TANAH MERAH,2022-01-25,education,92
KLUSTER INDUSTRI TUN ABDUL MAJID 2,KOTA TINGGI,2022-01-25,workplace,34
KLUSTER JALAN SRI BALUNG,TAWAU,2022-01-25,education,120
KLUSTER DAH BUNGA JUNJONG,"KULIM, BALING, BANDAR BAHARU",2022-01-25,education,140
KLUSTER MONTENIOR,"BEAUFORT, KUALA PENYU",2022-01-26,highRisk,64
KLUSTER INDUSTRI JALAN KESUMA DUA,HULU LANGAT,2022-01-26,workplace,30
KLUSTER PERSIARAN SERI PUTRA,"HULU LANGAT, KUALA LANGAT",2022-01-26,education,24
KLUSTER TUJUH TIMUR,SABAK BERNAM,2022-01-26,community,11
KLUSTER BATU 50,SABAK BERNAM,2022-01-26,community,10
KLUSTER KAMPUNG PERMATANG MANGGIS,SEBERANG PERAI UTARA,2022-01-26,workplace,10
KLUSTER JALAN BINUNUK,"BEAUFORT, PAPAR",2022-01-26,workplace,19
KLUSTER TIONG PENDEK,"KOTA BHARU, TUMPAT",2022-01-26,education,10
KLUSTER LEBUHRAYA GAMBANG,KUANTAN,2022-01-26,education,17
KLUSTER INDUSTRI JALAN RENGGAM,KLUANG,2022-01-26,workplace,69
KLUSTER JALAN MAWAR SALAK TINGGI,SEPANG,2022-01-26,education,17
KLUSTER JALAN TAJUL,KOTA TINGGI,2022-01-26,education,37
KLUSTER JALAN WANGSA BUDI,TITIWANGSA,2022-01-26,education,8
KLUSTER JALAN DAHLIA EMPAT,SEPANG,2022-01-26,education,99
KLUSTER JALAN INTAN KAMPAR,KAMPAR,2022-01-26,education,14
KLUSTER JALAN TERITIPAN,KOTA MARUDU,2022-01-26,education,79
KLUSTER DAH JENAN,KUBANG PASU,2022-01-26,education,63
KLUSTER INDUSTRI BUKIT MINYAK 88A 2,"SEBERANG PERAI TENGAH, SEBERANG PERAI SELATAN",2022-01-26,workplace,131
KLUSTER KM6 JALAN KUALA LUMPUR-BENTONG,BENTONG,2022-01-26,education,140
KLUSTER JALAN 14/44 PENGKALAN CHEPA,KOTA BHARU,2022-01-26,education,48
KLUSTER PAHI KRAI,"KUALA KRAI, GUA MUSANG",2022-01-26,education,42
KLUSTER JALAN JUNID MUAR,MUAR,2022-01-27,education,16
KLUSTER JALAN KIULU,TUARAN,2022-01-27,education,18
KLUSTER JALAN TUNJONG-PASIR MAS,"KOTA BHARU, BACHOK",2022-01-27,workplace,14
KLUSTER JALAN PANTAI EMPAT,ROMPIN,2022-01-27,education,27
KLUSTER JALAN PENYIARAN 50,JOHOR BAHRU,2022-01-27,highRisk,13
KLUSTER LORONG ILMU,SEREMBAN,2022-01-27,education,63
KLUSTER KAMPUNG BARU SEMENYIH,"HULU LANGAT, GOMBAK",2022-01-27,education,21
KLUSTER JALAN ANGGOR KOTA,KOTA TINGGI,2022-01-27,education,15
KLUSTER JALAN LEMBAH,TIMUR LAUT,2022-01-27,education,10
KLUSTER JALAN MARAN-TEMERLOH,TEMERLOH,2022-01-27,education,17
KLUSTER DABONG,KUALA KRAI,2022-01-27,education,14
KLUSTER PURI SEBERANG KENINGAU,KENINGAU,2022-01-27,education,23
KLUSTER PERSIARAN PENDIDIKAN ENSTEK,SEREMBAN,2022-01-27,education,104
KLUSTER JALAN GENTING KELANG,"TITIWANGSA, CHERAS, PUTRAJAYA",2022-01-27,education,56
KLUSTER INDUSTRI TAMAN TASIK UTAMA 2,"MELAKA TENGAH, ALOR GAJAH, JASIN",2022-01-27,workplace,372
KLUSTER KELIMAT SUNGAI SIPUT,KUALA KANGSAR,2022-01-27,education,21
KLUSTER ALOR AKAR,KUANTAN,2022-01-27,education,20
KLUSTER JALAN TUAH CHIKU DUA,GUA MUSANG,2022-01-27,community,22
KLUSTER JALAN SULTAN ISKANDAR SHAH,KUALA KANGSAR,2022-01-27,education,15
KLUSTER LORONG MANAR,PASIR PUTEH,2022-01-27,education,20
KLUSTER KUBANG SEMANG,"SEBERANG PERAI TENGAH, SEBERANG PERAI UTARA",2022-01-27,education,49
KLUSTER JALAN TERUSAN,LAHAD DATU,2022-01-27,education,19
KLUSTER JALAN UNGU,"HULU LANGAT, PETALING",2022-01-28,education,11
KLUSTER JALAN SPORTS DIGITAL,TITIWANGSA,2022-01-28,workplace,5
KLUSTER JALAN NAZRIN SHAH,LEMBAH PANTAI,2022-01-28,education,10
KLUSTER JALAN SENANGIN SATU,PETALING,2022-01-28,education,16
KLUSTER JALAN SEMENYIH KAJANG,HULU LANGAT,2022-01-28,education,21
KLUSTER JALAN LAI TET LOKE 2,TITIWANGSA,2022-01-28,workplace,8
KLUSTER DAH BUKIT AWI,KULIM,2022-01-28,education,27
KLUSTER JALAN SIMPANG SANGLANG,KANGAR,2022-01-28,education,12
KLUSTER DESA PERMAI,"HULU LANGAT, GOMBAK",2022-01-28,education,14
KLUSTER JALAN CHERODOK,"MACHANG, KOTA BHARU",2022-01-28,education,20
KLUSTER PERSIARAN PAYA LEBAR,"ALOR GAJAH, MELAKA TENGAH",2022-01-28,education,56
KLUSTER DAH KETIL INDUSTRI BALING 2,"BALING, KUALA MUDA, KULIM, PENDANG, SIK",2022-01-28,workplace,356
KLUSTER KAMPUNG GEMANG LAMA,JELI,2022-01-28,education,33
KLUSTER BATU EMPAT KAMUNTING,"LARUT, MATANG DAN SELAMA",2022-01-28,education,17
KLUSTER BATU 24 NABALU,"KOTA KINABALU, TUARAN, KOTA BELUD",2022-01-28,education,27
KLUSTER KUNDANG ULU,TANGKAK,2022-01-28,education,23
KLUSTER DAH JALAN WENG 2,BALING,2022-01-28,education,48
KLUSTER KAMPUNG KUALA,HULU LANGAT,2022-01-28,education,40
KLUSTER JALAN SUNGAI AIR HITAM,MELAKA TENGAH,2022-01-28,education,26
KLUSTER KUALA TEKAL,TEMERLOH,2022-01-28,education,37
KLUSTER SINARAN BARU SKUDAI,JOHOR BAHRU,2022-01-28,education,33
KLUSTER PERSIARAN PALMA,"PAPAR, PENAMPANG, TUARAN",2022-01-28,workplace,55
KLUSTER JALAN TELOK MAS,"MELAKA TENGAH, JASIN, ALOR GAJAH",2022-01-28,education,69
KLUSTER TITI SERONG,KERIAN,2022-01-29,education,5
KLUSTER BUKIT PIATU,BENTONG,2022-01-29,education,18
KLUSTER JALAN LENGKUAS,"PETALING, KLANG",2022-01-29,education,12
KLUSTER JALAN SUNGGALA,"PORT DICKSON, SEREMBAN",2022-01-29,education,69
KLUSTER DAH KAYU MANIS,"KUBANG PASU, KOTA SETAR, KUALA MUDA, BALING, YAN, BANDAR BAHARU, KULIM",2022-01-29,education,96
KLUSTER JALAN 3 KOMPLEKS TOK ARAU,KANGAR,2022-01-30,workplace,13
KLUSTER PADANG LEREK 2 TANGKAK,TANGKAK,2022-01-30,community,11
KLUSTER SERI BENTONG,BENTONG,2022-01-30,education,12
KLUSTER KENANGA INDAHPURA,KULAI,2022-01-30,workplace,8
KLUSTER JALAN PENJARA,TIMUR LAUT,2022-01-30,detentionCentre,33
KLUSTER SUSUR 5 LARKIN,JOHOR BAHRU,2022-01-30,education,17
KLUSTER JALAN RAZAK,PORT DICKSON,2022-01-30,education,22
KLUSTER JALAN CHINCHIN 2,"JASIN, MELAKA TENGAH",2022-01-30,education,93
KLUSTER AMALINA PERDANA-TERSANG TIGA,RAUB,2022-01-30,community,39
KLUSTER PISCES GEORGETOWN,TIMUR LAUT,2022-01-30,workplace,30
KLUSTER DAH RAMBUTAN,PADANG TERAP,2022-01-30,highRisk,38
KLUSTER JALAN PUTRA 11,PUTRAJAYA,2022-01-30,education,20
KLUSTER PERSIARAN TUN ISMAIL,"KEPONG, TITIWANGSA, LEMBAH PANTAI, CHERAS, GOMBAK",2022-01-30,education,38
KLUSTER JALAN SELANDAR JASIN,JASIN,2022-01-30,education,38
KLUSTER JALAN EMPAT VISTA WIRA,TITIWANGSA,2022-01-31,highRisk,6
KLUSTER DAH JALAN LANGGAR,KOTA SETAR,2022-01-31,education,42
KLUSTER PERMATANG PAUH SEBERANG JAYA,SEBERANG PERAI TENGAH,2022-01-31,education,52
KLUSTER DAH TITI BESI,"KOTA SETAR, PENDANG",2022-01-31,education,65
KLUSTER JALAN HAJI IBRAHIM,"KUALA LANGAT, HULU LANGAT, PUTRAJAYA",2022-01-31,education,33
KLUSTER LORONG API-API,"KOTA KINABALU, TUARAN",2022-01-31,education,40
KLUSTER JALAN DUA BELAS SABAK,SABAK BERNAM,2022-01-31,education,20
KLUSTER JALAN PARIT KEMANG,BATU PAHAT,2022-01-31,education,71
KLUSTER DAH SUNGAI TUKANG,KUALA MUDA,2022-01-31,education,40
KLUSTER JALAN SATU BATU MUDA,KEPONG,2022-01-31,education,20
KLUSTER DAH LAVENDER,KUBANG PASU,2022-01-31,education,80
KLUSTER SUNGAI SAM KRAI,KUALA KRAI,2022-01-31,education,51
KLUSTER MEDINI UTARA,JOHOR BAHRU,2022-01-31,workplace,24
KLUSTER DAH SUKA MENANTI,"KOTA SETAR, BALING, KUALA MUDA, KUBANG PASU, PENDANG",2022-01-31,education,54
KLUSTER BLOK 1 JENGKA 25 SAUDI,TEMERLOH,2022-02-01,import,6
KLUSTER PLO PERAK EMPAT,JOHOR BAHRU,2022-02-01,education,5
KLUSTER JALAN PEKAN DARAT,"SEBERANG PERAI UTARA, SEBERANG PERAI TENGAH",2022-02-02,education,48
KLUSTER DAH LAPAN INDUSTRI KULIM,"KULIM, BALING, KUALA MUDA, KUBANG PASU, BANDAR BAHARU",2022-02-02,workplace,135
KLUSTER TANJUNG SEMBRONG 2,BATU PAHAT,2022-02-02,workplace,34
KLUSTER KUALA KERDAU,TEMERLOH,2022-02-02,education,24
KLUSTER JALAN PERSIARAN ABU BAKAR SULTAN 2,JOHOR BAHRU,2022-02-02,highRisk,10
KLUSTER JALAN DAMAI BUKIT MERTAJAM,"SEBERANG PERAI TENGAH, SEBERANG PERAI SELATAN",2022-02-02,education,61
KLUSTER JALAN IDAMAN VILLA,SEREMBAN,2022-02-02,education,17
KLUSTER LORONG PERMAI KANAN,ROMPIN,2022-02-02,community,25
KLUSTER JALAN OOI KAR SENG,SEBERANG PERAI SELATAN,2022-02-03,education,25
KLUSTER JALAN ISTIMEWA 7 CEMERLANG,JOHOR BAHRU,2022-02-03,workplace,34
KLUSTER JALAN PADU TAMPOI 19,JOHOR BAHRU,2022-02-03,workplace,11
KLUSTER JALAN SERUNAI SATU,KLANG,2022-02-03,highRisk,22
KLUSTER KAMPUNG GAING,REMBAU,2022-02-03,education,77
KLUSTER JALAN BUDIMAN 2,CHERAS,2022-02-03,education,70
KLUSTER JALAN PADANG TEMBAK 3,"KOTA BHARU, BACHOK",2022-02-03,workplace,151
KLUSTER KAMPUNG AYER KUNDOR,REMBAU,2022-02-03,highRisk,82
KLUSTER JALAN GELUNG PEPUYU,PERAK TENGAH,2022-02-03,workplace,25
KLUSTER JALAN DUA PULUH SUNGAI BESI,"CHERAS, LEMBAH PANTAI",2022-02-04,education,13
KLUSTER INDUSTRI LOT 27,MELAKA TENGAH,2022-02-04,workplace,106
KLUSTER JALAN IPOH,"TITIWANGSA, KEPONG",2022-02-06,education,39
KLUSTER JALAN SENTUL,KEPONG,2022-02-07,highRisk,34
KLUSTER JALAN BERCHAM NOVA,KINTA,2022-02-07,workplace,23
KLUSTER JALAN SIMPANG PULAI LAHAT,KINTA,2022-02-07,education,15
KLUSTER TAPAK BINA PERSIARAN MAHKOTA 2,KUALA LANGAT,2022-02-08,workplace,23
KLUSTER LORONG ILMU 2,SEREMBAN,2022-02-08,education,34
KLUSTER DUA JALAN PAHANG KUALA KUBU BHARU,HULU SELANGOR,2022-02-11,workplace,12
KLUSTER JALAN KAKI BUKIT,KANGAR,2022-02-12,education,14
KLUSTER SEKUH,"TEMERLOH, MARAN",2022-02-13,education,34
KLUSTER JALAN TUN ALI,MELAKA TENGAH,2022-02-13,education,44
KLUSTER JALAN MARMAR,"TITIWANGSA, KEPONG, KUALA SELANGOR",2022-02-13,education,11
KLUSTER JALAN TEMERLOH TITIWANGSA,"TITIWANGSA, CHERAS",2022-02-13,education,17
KLUSTER KAMPUNG POKOK JENERIH,"SEBERANG PERAI UTARA, SEBERANG PERAI TENGAH",2022-02-13,education,45
KLUSTER LORONG CEMPAKA,KUANTAN,2022-02-13,highRisk,17
KLUSTER JAYA TIMUR MEMPAGA,BENTONG,2022-02-13,education,20
KLUSTER INDUSTRI JALAN EP SERKAM SATU 2,JASIN,2022-02-13,workplace,155
KLUSTER CABANG EMPAT JALAN MAKTAB,KOTA BHARU,2022-02-13,education,41
KLUSTER JALAN DUTAMAS RAYA,KEPONG,2022-02-13,education,14
KLUSTER JALAN PADU TAMPOI,JOHOR BAHRU,2022-02-14,workplace,14
KLUSTER LORONG SARJAN HASSAN,PASIR MAS,2022-02-14,education,19
KLUSTER KAMPUNG SERDANG,BACHOK,2022-02-14,education,30
KLUSTER LALUAN PERSEKUTUAN GOPENG,KAMPAR,2022-02-14,education,16
KLUSTER JALAN UNGKU ABDUL AZIZ 2,"KOTA TINGGI, JOHOR BAHRU",2022-02-14,education,35
KLUSTER INDUSTRI TEKNOLOGI CHENG SATU 2,MELAKA TENGAH,2022-02-14,workplace,31
KLUSTER PUTRA 15 SATU,PUTRAJAYA,2022-02-14,education,11
KLUSTER JALAN MALIM NAWAR,"KAMPAR, KINTA",2022-02-14,education,11
KLUSTER JALAN MASJID KUBANG BEMBAN,PASIR MAS,2022-02-14,education,49
KLUSTER KAMPUNG KULIM,JELI,2022-02-14,education,21
KLUSTER JALAN PUDU 2,LEMBAH PANTAI,2022-02-14,education,22
KLUSTER BUKIT PANCHOR NIBONG TEBAL,SEBERANG PERAI SELATAN,2022-02-14,education,20
KLUSTER SERI BOTA,PERAK TENGAH,2022-02-14,education,55
KLUSTER KOTA GOPENG 2,KAMPAR,2022-02-14,education,55
KLUSTER ZON INDUSTRI JEJAWI 2,KANGAR,2022-02-14,workplace,392
KLUSTER JALAN YAHYA 5,TITIWANGSA,2022-02-14,education,414
KLUSTER SIMPANG TIGA JALAN MAKTAB 2,KOTA BHARU,2022-02-14,education,47
KLUSTER SIMPANG 3 JALAN KLUANG,BATU PAHAT,2022-02-15,highRisk,10
KLUSTER TANJUNG AGAS TANGKAK,TANGKAK,2022-02-15,education,7
KLUSTER PUTRA SATU 2,PUTRAJAYA,2022-02-15,workplace,6
KLUSTER JALAN SUNGAI LONG 32,KLANG,2022-02-15,education,19
KLUSTER JALAN DARUL NAIM,KOTA BHARU,2022-02-15,education,12
KLUSTER LORONG TAMAN SRI DARUL RIYADH,PASIR MAS,2022-02-15,education,52
KLUSTER JUBI TAMBULION,KOTA BELUD,2022-02-15,education,37
KLUSTER KAMPUNG WAKAF ZIN,"BACHOK, KOTA BHARU",2022-02-15,education,32
KLUSTER JALAN PASIR MAS-POHON TANJUNG 2,PASIR MAS,2022-02-15,education,50
KLUSTER LEBUH KARAK 2,BENTONG,2022-02-15,education,39
KLUSTER TEMBOK KOTA KINABALU 2,KOTA KINABALU,2022-02-15,detentionCentre,123
KLUSTER INDUSTRI PEGOH 2,"ALOR GAJAH, MELAKA TENGAH, JASIN",2022-02-15,workplace,374
KLUSTER LONDANG,"ALOR GAJAH, JASIN",2022-02-15,education,114
KLUSTER SEKSYEN 17 LEMBAH SIREH 2,KOTA BHARU,2022-02-15,education,82
KLUSTER PASIR PENAMBANG,KUALA SELANGOR,2022-02-15,education,60
KLUSTER JALAN BENDAHARA 2/36,KOTA BHARU,2022-02-16,education,8
KLUSTER JALAN TELUK SISEK,KUANTAN,2022-02-16,workplace,18
KLUSTER JALAN PUTERI HANG LI POH,MELAKA TENGAH,2022-02-16,education,26
KLUSTER KM 1 JALAN SABAK,ROMPIN,2022-02-16,education,40
KLUSTER SONANGOL,JOHOR BAHRU,2022-02-16,import,7
KLUSTER DATARAN DWITASIK,CHERAS,2022-02-16,education,7
KLUSTER JALAN SOKID,RANAU,2022-02-16,education,28
KLUSTER JALAN BUKIT KIARA,KEPONG,2022-02-16,education,15
KLUSTER LINGKARAN CYBER POINT BARAT 2,"SEPANG, PETALING, KUALA LANGAT",2022-02-16,education,13
KLUSTER INDUSTRI DUA SUNGAI KAYU ARA 32,KLANG,2022-02-16,workplace,20
KLUSTER JALAN PAYAMAS TANGKAK,TANGKAK,2022-02-16,education,18
KLUSTER JALAN BESAR BUKIT BANGKONG,SEPANG,2022-02-16,education,36
KLUSTER SEKSYEN 14 JALAN BAYAM 3,KOTA BHARU,2022-02-16,highRisk,9
KLUSTER JALAN PERKASA 2,TITIWANGSA,2022-02-16,education,9
KLUSTER JALAN TARUKA HALIMAH,JOHOR BAHRU,2022-02-16,education,280
KLUSTER JALAN DATIN HALIMAH LARKIN,JOHOR BAHRU,2022-02-16,education,74
KLUSTER JALAN BANGSAR UTAMA,LEMBAH PANTAI,2022-02-16,education,14
KLUSTER JALAN PUTRA EMPAT B,PUTRAJAYA,2022-02-16,education,10
KLUSTER JALAN BANDAU,KOTA MARUDU,2022-02-16,education,124
KLUSTER DUA LINGKARAN WAWASAN,LEMBAH PANTAI,2022-02-16,education,23
KLUSTER JALAN ASRAMA TITIWANGSA,TITIWANGSA,2022-02-16,education,12
KLUSTER JALAN STADIUM TAMPIN,"TAMPIN, PORT DICKSON, REMBAU, JELEBU, JEMPOL, KUALA PILAH, SEREMBAN",2022-02-16,workplace,49
KLUSTER TEMBOK SEBERANG PERAI,SEBERANG PERAI SELATAN,2022-02-16,detentionCentre,31
KLUSTER JALAN HUTAN CHENGAL,PASIR MAS,2022-02-16,education,65
KLUSTER INDUSTRI JALAN USAHA EMPAT,JASIN,2022-02-16,workplace,116
KLUSTER JALAN RAJA MAHMUD,TITIWANGSA,2022-02-16,education,46
KLUSTER BATU 28 KUALA SUNGAI BARU,"ALOR GAJAH, JASIN, MELAKA TENGAH",2022-02-16,education,126
KLUSTER JALAN BUNGA MATAHARI,KOTA TINGGI,2022-02-17,community,15
KLUSTER JALAN SIPUTEH PARIT,PERAK TENGAH,2022-02-17,education,42
KLUSTER JALAN SEKOLAH SUKAN,CHERAS,2022-02-17,education,11
KLUSTER JALAN TUANKU ABDUL HALIM,"TITIWANGSA, KEPONG, GOMBAK, PETALING, KUALA SELANGOR",2022-02-17,workplace,11
KLUSTER JALAN BUKIT SEBELAS,PETALING,2022-02-17,highRisk,5
KLUSTER JALAN BANGGOL KULIM,PASIR MAS,2022-02-17,education,9
KLUSTER JALAN DATARAN 2,SEREMBAN,2022-02-17,education,51
KLUSTER KEMBURUNGOH 2,RANAU,2022-02-17,education,61
KLUSTER JALAN BUKIT MENTERI SELATAN,PETALING,2022-02-17,highRisk,18
KLUSTER INTAN DELIMA 3,KUALA PILAH,2022-02-17,education,29
KLUSTER PERAMU KUANTAN,KUANTAN,2022-02-17,education,26
KLUSTER JALAN SUGUT RANAU,RANAU,2022-02-17,education,61
KLUSTER JALAN BESAR GEMENCHEH,TAMPIN,2022-02-17,education,113
KLUSTER DUA LINGKARAN BUDI,LEMBAH PANTAI,2022-02-17,education,11
KLUSTER JALAN PUTRA SUNWAY,"KEPONG, LEMBAH PANTAI, PUTRAJAYA, GOMBAK, HULU LANGAT, PETALING, TITIWANGSA",2022-02-17,workplace,11
KLUSTER BATU TALAM RAUB,RAUB,2022-02-17,education,52
KLUSTER BATU ENAM KOTA BELUD,KOTA BELUD,2022-02-17,education,60
KLUSTER JALAN PERSIARAN GURNEY,"KEPONG, TITIWANGSA",2022-02-17,education,25
KLUSTER INDUSTRI JALAN TIGA SALAK TINGGI,SEPANG,2022-02-17,workplace,171
KLUSTER KUNDUR HILIR,"REMBAU, SEREMBAN",2022-02-18,education,124
KLUSTER PEKATRA INDAH,SEBERANG PERAI SELATAN,2022-02-18,education,45
KLUSTER JALAN ANGGERIK BUKIT BERUNTUNG,HULU SELANGOR,2022-02-18,education,29
KLUSTER JALAN ANDAMAN,"TITIWANGSA, KEPONG",2022-02-18,education,13
KLUSTER JALAN SEBELAS SELAYANG BARU,GOMBAK,2022-02-18,education,8
KLUSTER KAMPUNG LAMPADA,"KOTA MARUDU, TUARAN",2022-02-18,education,25
KLUSTER JALAN REKTOR NILAI,SEREMBAN,2022-02-18,education,9
KLUSTER BAN DUA,"SABAK BERNAM, KUALA SELANGOR",2022-02-18,education,12
KLUSTER KERDAU TEMERLOH,TEMERLOH,2022-02-18,education,40
KLUSTER JALAN PADANG LALLANG 2,SEBERANG PERAI TENGAH,2022-02-18,education,22
KLUSTER SUNGAI PAGAR,LABUAN,2022-02-18,education,62
KLUSTER MERINDING 3,LABUAN,2022-02-18,education,334
KLUSTER JALAN TAMAN TUJUH,PETALING,2022-02-18,highRisk,17
KLUSTER PAUH PUTRA,KANGAR,2022-02-18,education,14
KLUSTER JALAN KUCHAI LAMA 2,"LEMBAH PANTAI, CHERAS, KEPONG, PUTRAJAYA",2022-02-18,workplace,21
KLUSTER JALAN PANTAI BERSIH,"SEBERANG PERAI UTARA, SEBERANG PERAI TENGAH",2022-02-19,education,9
KLUSTER BATU 26 DATUK,HILIR PERAK,2022-02-19,education,10
KLUSTER TELUK AIR TAWAR BUTTERWORTH,SEBERANG PERAI UTARA,2022-02-19,detentionCentre,37
KLUSTER TEMERLOH JAYA,TEMERLOH,2022-02-19,education,20
KLUSTER JALAN PERKUBURAN,ROMPIN,2022-02-19,education,30
KLUSTER LEBUH CATOR,KINTA,2022-02-19,education,6
KLUSTER JALAN PAHANG KUALA KUBU BHARU,"HULU SELANGOR, HULU LANGAT",2022-02-19,education,34
KLUSTER JALAN KAMPUNG SIRAM,PASIR MAS,2022-02-19,education,21
KLUSTER JALAN KL TANJUNG MALIM,HULU SELANGOR,2022-02-19,highRisk,10
KLUSTER LORONG PEEL,"CHERAS, LEMBAH PANTAI, TITIWANGSA",2022-02-19,education,10
KLUSTER JALAN KAMPUNG TELOK,BACHOK,2022-02-19,education,26
KLUSTER JALAN ISTANA LAMA,KUALA LANGAT,2022-02-19,education,17
KLUSTER JALAN KEDAI LAMA,PASIR MAS,2022-02-20,education,7
KLUSTER INDUSTRI TANJUNG SENGKAWANG,SEGAMAT,2022-02-20,workplace,65
KLUSTER JALAN CHE YEM,PASIR PUTEH,2022-02-20,education,20
KLUSTER JALAN SRI BENGKAL 2,BATU PAHAT,2022-02-20,workplace,15
KLUSTER JALAN SINARAN ILMU,JOHOR BAHRU,2022-02-20,education,19
KLUSTER JALAN BATU 39 OLAK LEMPIT,KUALA LANGAT,2022-02-20,education,34
KLUSTER JALAN MAKTAB SUNGAI BESI 2,CHERAS,2022-02-20,education,151
KLUSTER SERI DAMAI,KUANTAN,2022-02-20,highRisk,22
