cluster,district,date_announced,category,cases_total
KLUSTER INDUSTRI DUA BUKIT PANCHOR,SEBERANG PERAI SELATAN,2021-08-29,workplace,80
KLUSTER JALAN PARIT BAKAR DARAT,MUAR ,2021-08-29,workplace,229
KLUSTER INDUSTRI JALAN KORPORAT 1A,KLANG ,2021-08-29,workplace,40
KLUSTER KAMAN,BAU,2021-08-29,community,83
KLUSTER KAMPUNG BETA POHON BULOH,PASIR MAS,2021-08-30,community,13
KLUSTER CABANG EMPAT SALAM 2,PASIR MAS,2021-08-30,workplace,10
KLUSTER KAMPUNG PULAU PISANG,KOTA BHARU,2021-08-30,community,11
KLUSTER JALAN NARA,PASIR PUTEH,2021-08-30,workplace,48
KLUSTER INDUSTRI JALAN RAJA MUAR,MUAR,2021-08-30,workplace,87
KLUSTER LORONG MUSTAFA,"KOTA BHARU, BACHOK",2021-08-30,community,12
KLUSTER DAH GERIGIS,"KOTA SETAR, KUBANG PASU",2021-08-30,education,91
KLUSTER INDUSTRI JALAN SERULING,SEBERANG PERAI SELATAN,2021-08-30,workplace,33
KLUSTER JALAN BERANGAN KLUANG,KLUANG ,2021-08-30,workplace,58
KLUSTER KAMPUNG PADANG ENGGANG,KOTA BHARU,2021-08-30,community,13
KLUSTER JALAN PERNIAGAAN SETIA ENAM,JOHOR BAHRU,2021-08-30,workplace,37
KLUSTER KAMPUNG GERTAK ANAK BUAYA,PASIR MAS,2021-08-30,community,7
KLUSTER SEKSYEN 69 PASIR TUMBOH,KOTA BHARU,2021-08-30,workplace,7
KLUSTER NANGA TEKALIT,TATAU,2021-08-30,community,57
KLUSTER JALAN KASAWARI LARKIN,JOHOR BAHRU,2021-08-30,highRisk,19
KLUSTER INDUSTRI PLO 200,KULAI,2021-08-30,workplace,31
KLUSTER TAPAK BINA JALAN PASIR MAS TUNJONG,KOTA BHARU,2021-08-30,workplace,43
KLUSTER KAMPUNG TANJUNG KUALA,TUMPAT,2021-08-30,workplace,30
KLUSTER PERSIARAN TITIWANGSA TIGA,TITIWANGSA,2021-08-30,highRisk,11
KLUSTER SUNGAI RINGIN,MERADONG,2021-08-30,community,30
KLUSTER JALAN MUAFAKAT SIMPANG RENGGAM,KLUANG,2021-08-30,workplace,78
KLUSTER JALAN EQUINE 9B,PETALING,2021-08-30,workplace,39
KLUSTER JALAN PASAR INTAN 181,HILIR PERAK,2021-08-30,community,45
KLUSTER INDUSTRI JALAN EMPAT TEMERLOH,TEMERLOH,2021-08-30,workplace,181
KLUSTER JALAN KEMPAS LIMA DESARU,KOTA TINGGI,2021-08-30,education,18
KLUSTER PERSIARAN CASSIA SELATAN EMPAT,"SEBERANG PERAI SELATAN, SEBERANG PERAI TENGAH, BARAT DAYA",2021-08-30,workplace,73
KLUSTER BELINGGAI ULU NIAH,"SUBIS, MIRI",2021-08-30,community,180
KLUSTER TEMBOK JASIN,JASIN,2021-08-30,detentionCentre,135
KLUSTER TAPAK BINA PINGGIRAN GOH,KUANTAN,2021-08-30,workplace,210
KLUSTER BAGAN SEKINCHAN,SABAK BERNAM,2021-08-30,community,36
KLUSTER JALAN LADANG TEH HABU,CAMERON HIGHLANDS,2021-08-30,community,56
KLUSTER SERI DELIMA KOTA TINGGI,KOTA TINGGI,2021-08-30,workplace,37
KLUSTER INDUSTRI LORONG SUNGAI TIRAM,"BARAT DAYA, SEBERANG PERAI TENGAH, SEBERANG PERAI UTARA, SEBERANG PERAI SELATAN, TIMUR LAUT",2021-08-30,workplace,64
KLUSTER KAMPUNG CABANG EMPAT TOK DARAT,PASIR MAS,2021-08-30,community,23
KLUSTER TAPAK BINA JALAN SULTAN ZAINAL ABIDIN,"KUALA TERENGGANU, KUALA NERUS",2021-08-30,workplace,236
KLUSTER POS TOHOI,GUA MUSANG,2021-08-30,community,34
