date,cases_active,cases_adolescent,cases_adult,cases_elderly
2021-07-23,147387,1081,10948,1122
2021-07-24,153634,962,11395,1257
2021-07-25,160904,1045,12076,1074
2021-07-26,165842,932,9783,897
2021-07-27,170226,1148,11432,1105
2021-07-28,175115,1182,12025,1231
2021-07-29,179181,1140,12206,1090
2021-07-30,183708,1178,11664,1108
2021-07-31,189611,1352,12260,1186
2021-08-01,195275,1274,11731,1258
2021-08-02,199053,1130,10783,1072
2021-08-03,203666,1239,11777,1192
2021-08-04,210524,1380,13795,1359
2021-08-05,217063,1388,14699,1350
2021-08-06,221398,1331,14859,1364
2021-08-07,224123,1383,13341,1433
2021-08-08,225396,1340,13078,1381
2021-08-09,227233,1209,11882,1182
2021-08-10,230765,1456,13501,1458
2021-08-11,233361,1454,14537,1424
2021-08-12,237024,1507,15101,1524
2021-08-13,241190,1433,14673,1593
2021-08-14,243945,1467,14295,1551
2021-08-15,247264,1507,14238,1370
2021-08-16,249280,1372,13518,1357
2021-08-17,252151,1424,13425,1442
2021-08-18,254488,1624,15125,1584
2021-08-19,255538,1665,16065,1647
2021-08-20,257421,1820,16011,1692
2021-08-21,260884,1685,14933,1714
2021-08-22,262259,1565,13288,1508
2021-08-23,260704,1374,11768,1491
2021-08-24,262717,1616,14024,1520
2021-08-25,264296,1767,15003,1791
2021-08-26,265845,1722,16450,1872
2021-08-27,265699,1649,15043,1739
2021-08-28,268552,1717,14876,1835
2021-08-29,268001,1638,13696,1560
2021-08-30,265718,1597,12579,1650
2021-08-31,267868,1683,14057,1760
2021-09-01,265279,1491,12434,1658
2021-09-02,262545,1796,13868,1891
2021-09-03,259194,1549,12793,1689
2021-09-04,256307,1668,12309,1801
2021-09-05,255794,1622,13561,1869
2021-09-06,252673,1451,11349,1562
2021-09-07,252007,1559,12033,1717
2021-09-08,248678,1593,13019,1856
2021-09-09,242808,1597,12928,1704
2021-09-10,242167,1814,13607,1986
2021-09-11,239354,1650,12772,1797
2021-09-12,237280,1686,12366,1914
2021-09-13,228127,1391,10332,1562
2021-09-14,225280,1318,10104,1476
2021-09-15,225593,1712,12409,1952
2021-09-16,227123,1528,12191,1792
2021-09-17,221343,1417,11621,1668
2021-09-18,219363,1321,9981,1595
2021-09-19,210472,1233,9644,1467
2021-09-20,207702,1244,9073,1500
2021-09-21,206477,1399,10017,1611
2021-09-22,201278,1264,9538,1523
2021-09-23,198288,1098,8850,1371
2021-09-24,195841,1278,9269,1528
2021-09-25,191438,1176,8648,1546
2021-09-26,183293,1140,8275,1398
